_id,ID_EQ_SAUDE,CATEGORIA,SIGLA_CATEGORIA,NOME,TIPO_LOGRADOURO,LOGRADOURO,NUMERO_IMOVEL,TELEFONE,NOME_BAIRRO_POPULAR,GEOMETRIA
317,431,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE UNIVERSITARIO,RUA,ARISTOTELES RIBEIRO VASCONCELOS,87,,SANTA ROSA,POINT (610701.894450305 7803128.62678126)
318,443,CENTRO DE SAUDE,CS,CENTRO DE SAUDE NOVO AARAO REIS,AVE,DETETIVE EDUARDO FERNANDES,205,"32776640, 32776763, 32776652",NOVO AARÃO REIS,POINT (614267.001723356 7805712.66080862)
319,208,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VALE DO JATOBA,RUA,LUIZ LEITE DE FARIA,171,"32775854, 32775855, 32771505",VALE DO JATOBÁ,POINT (600814.343784229 7787093.50068469)
320,396,CENTRO DE SAUDE,CS,CENTRO DE SAUDE TREVO,RUA,JOSE SIMPLICIO MOREIRA,1144,"32468008, 32468483",TREVO,POINT (603213.397969542 7806529.01464216)
321,437,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA SANTA BRANCA,RUA,HELCIO PAIVA,179,34928433,SANTA MÔNICA,POINT (608070.818698191 7807030.73251894)
322,430,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,RUA,SERRA DO CIPO,170,"32776664, 32776665",RIBEIRO DE ABREU,POINT (615327.334841375 7807428.86148095)
323,284,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PADRE EUSTAQUIO,RUA,HUMAITA,1125,"32777218, 32778479, 32778306",PADRE EUSTÁQUIO,POINT (606437.481860045 7796951.24416958)
324,152,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE OSWALDO CRUZ,RUA,DOS GOITACAZES,1550,,BARRO PRETO,POINT (609746.593173082 7797054.21411097)
325,332,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO JOSE,RUA,VIOLETA DE MELO,655,"32777214, 32778449, 32778569",JARDIM SÃO JOSÉ,POINT (604790.778508296 7799230.61021123)
326,318,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA AMELIA,RUA,ENGENHEIRO PEDRO BAX,220,"32777453, 32777438, 32778027, 32777974",SANTA AMÉLIA,POINT (607463.462790727 7806238.49377684)
327,513,UNIDADE DE PRONTO ATENDIMENTO,UPA,UNIDADE DE PRONTO ATENDIMENTO LESTE,AVE,DOS ANDRADAS,7450,,VERA CRUZ,POINT (615475.652842726 7798587.8210491)
328,367,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE DOM JOAQUIM,RUA,LAURO GOMES VIDAL,525,,DOM JOAQUIM,POINT (613311.258894387 7801669.52377744)
