ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
1982977,INSTITUTO EDUCACIONAL CRISTÃO PEQUENOS BRILHANTES,Creches Conveniadas,31356280,RUA,EMILIO CARDOSO AIRES,210,,Tupi B,NORTE,POINT (613298.098526891 7805897.05327607)
1982166,ESCOLA MUNICIPAL CIAC LUCAS MONTEIRO MACHADO,Municipal,31244473,RUA,OTAVIANO DE CARVALHO,12,,Vila Pinho,BARREIRO,POINT (601832.870471667 7788230.31928856)
1983109,EMEI JARDIM DOS COMERCIÁRIOS,EMEIS,31358029,RUA,SETE DE OUTUBRO,600,,Jardim dos Comerciários,VENDA NOVA,POINT (607217.274863427 7811344.25451405)
1982237,ESCOLA MUNICIPAL HONORINA RABELLO,Municipal,31002844,RUA,MARIA CONCEICAO BONFIM,315,,Goiânia,NORDESTE,POINT (615622.008333136 7803935.77248909)
1983095,EMEI PARQUE REAL,EMEIS,31362085,RUA,TRES MIL E SETENTA E QUATRO,500,,Paulo VI,NORDESTE,POINT (616400.028479993 7805651.79319804)
1983110,EMEI LAGOA,EMEIS,31358002,RUA,HELCIO PEREIRA FORTES,6,,Lagoa,VENDA NOVA,POINT (604726.098105638 7809268.39704881)
1982103,ASSISTÊNCIA SOCIAL KENNEDY,Creches Conveniadas,31308561,RUA,ALINE,907,,Pindorama,NOROESTE,POINT (602332.106868722 7798093.19172946)
1981743,ESCOLA MUNICIPAL PROFESSOR MELLO CANCADO,Municipal,31003379,RUA,DAS PETUNIAS,2058,,Lindéia,BARREIRO,POINT (599061.384482881 7790334.40100882)
1983111,EMEI JARDIM MONTANHES,EMEIS,31361887,RUA,LEOPOLDO PEREIRA,197,,Jardim Montanhês,NOROESTE,POINT (606608.89647127 7798712.7056292)
1981759,ESCOLA MUNICIPAL FRANCISCO CAMPOS,Municipal,31003638,RUA,HERALDO BELISARIO,190,,Tupi A,NORTE,POINT (612838.739032851 7806473.49594283)
